StateFIPS,State,WIC_PART_2012,WIC_PART_2013,WIC_PART_2014,WIC_PART_2015,WIC_PART_2016,WIC_PART_2017,WIC_PART_2018,NSLP_PART_2012,NSLP_PART_2013,NSLP_PART_2014,NSLP_PART_2015,NSLP_PART_2016,NSLP_PART_2017,NSLP_PART_2018,SBP_PART_2012,SBP_PART_2013,SBP_PART_2014,SBP_PART_2015,SBP_PART_2016,SBP_PART_2017,SBP_PART_2018,CACFP_PART_2012,CACFP_PART_2013,CACFP_PART_2014,CACFP_PART_2015,CACFP_PART_2016,CACFP_PART_2017,CACFP_PART_2018,SFSP_PART_2012,SFSP_PART_2013,SFSP_PART_2014,SFSP_PART_2015,SFSP_PART_2016,SFSP_PART_2017,SFSP_PART_2018,State_Population_2012,State_Population_2013,State_Population_2014,State_Population_2015,State_Population_2016,State_Population_2017,State_Population_2018
13,Georgia,"303,874.6667","289,524.4167","271,416","264,298.9167","253,652.5833","237,224.4167","217,695.0833","1,287,032.722","1,245,367.6136","1,236,304.4468","1,236,153.5419","1,224,626.8728","1,211,207.4793","1,190,337.6483","620,654.8004","608,138.0798","626,649.7663","626,930.2409","646,702.0256","649,923.8883","646,451.8758","135,286.25","138,070","141,104.5","141,701.75","141,950","143,991","145,731","84,854","71,557","98,044","101,239","88,156","88,446","93,839","9,901,496","9,973,326","10,069,001","10,181,111","10,304,763","10,413,055","10,519,475"
15,Hawaii,"37,169.4167","36,370.0833","33,922.5","31,616","30,117.25","26,855.5","26,114.5","113,618.3627","113,609.1334","113,980.7024","109,589.9557","106,992.9282","103,947.2612","102,751.4084","38,942.7065","38,465.54","37,596.6679","37,812.7772","36,453.5539","34,765.7917","32,405.0102","10,069","10,122.5","10,739","11,390.75","11,172.75","10,932.25","10,626","5,134","5,324","6,010","5,860","5,544","6,350","6,482","1,394,905","1,408,453","1,414,862","1,422,484","1,428,105","1,424,203","1,420,491"
16,Idaho,"43,751.25","43,291.6667","41,423.4167","40,506.4167","39,009.9167","36,526.0833","33,716.5833","170,127.1725","160,189.0207","158,273.8823","157,015.5819","157,148.7475","155,249.191","151,937.1929","77,706.2208","75,367.9732","76,040.2733","77,464.7009","80,394.5823","78,542.0113","75,085.2211","8,546","10,694.25","11,342.75","11,666.75","12,050.75","12,157","11,991.75","21,114","20,959","26,932","19,775","18,989","21,325","20,392","1,595,441","1,611,530","1,631,479","1,651,523","1,682,930","1,718,904","1,754,208"
17,Illinois,"288,939.1667","280,463.25","265,922.75","247,593.9167","225,158.5","211,367.0833","199,360.25","1,142,443.2458","1,124,196.4521","1,124,755.9631","1,108,555.4357","1,084,030.4447","1,059,265.9715","1,044,212.9929","395,044.7081","416,090.7348","419,947.1413","423,306.3646","431,275.3206","424,740.0216","439,344.4804","127,321","129,334.75","133,867.5","141,448.5","142,879","140,115.75","139,955.75","55,586","54,067","69,897","70,835","57,945","96,032","91,102","12,884,119","12,898,269","12,888,962","12,864,342","12,826,895","12,786,196","12,741,080"
18,Indiana,"164,280.5833","159,524.5833","155,323.0833","154,484.5","147,905.5833","143,974.5","143,730.4167","801,375.7641","781,172.4799","774,692.7964","768,261.6565","754,994.846","743,330.8163","734,632.8659","256,201.8458","259,035.9583","260,520.676","272,047.2252","280,446.3622","283,075.1528","283,659.2353","71,208.5","79,035.25","71,834.5","81,678","86,470.25","93,762.5","94,214","54,466","58,664","66,164","64,068","55,841","55,778","51,645","6,537,640","6,568,367","6,593,533","6,608,296","6,633,344","6,660,082","6,691,878"
19,Iowa,"69,158.9167","65,875.9167","63,766.6667","63,481.25","61,163.4167","61,995.9167","60,249.25","395,599.7842","384,195.0138","383,565.3842","381,698.5497","381,877.2624","377,927.3643","373,033.561","93,107.5153","94,780.7743","93,851.732","98,260.338","103,663.1907","103,257.9408","102,432.6981","38,915.75","38,978.25","39,403","44,129.75","43,173.5","43,434.25","42,862","11,109","13,607","16,016","16,703","18,296","18,475","21,739","3,076,097","3,093,078","3,109,504","3,121,460","3,131,785","3,143,637","3,156,145"
20,Kansas,"74,761.0833","70,614.75","65,698.5","62,849.5833","58,954.75","54,135.3333","50,680.6667","361,686.0841","348,151.744","346,298.3339","345,398.0583","342,539.7339","338,077.3103","333,287.1869","107,458.588","111,453.1943","113,861.9202","115,826.9208","119,168.7642","120,177.0346","118,836.6295","49,973.25","47,873.5","49,258.5","49,897.5","49,185.75","47,664.5","48,456","20,026","25,237","25,597","28,280","29,882","28,251","29,200","2,885,361","2,893,510","2,900,896","2,909,502","2,911,263","2,910,689","2,911,505"
21,Kentucky,"132,698.0833","129,923.3333","121,681.6667","116,178.9167","111,926.0833","107,884.6667","101,743","549,533.7409","532,791.3221","529,400.5753","525,265.7317","528,663.3106","525,318.7103","515,845.4992","269,770.9457","276,997.0035","278,707.4194","283,064.9646","303,016.1812","311,921.4911","317,906.3886","47,689","52,231.5","55,599.25","56,812","63,473.25","65,950.5","72,215.5","33,091","20,189","33,222","33,013","41,667","69,912","80,847","4,386,381","4,404,817","4,414,483","4,425,999","4,438,229","4,453,874","4,468,402"
22,Louisiana,"145,346.1667","139,856","130,398.5833","128,935","127,387.4167","119,746.5833","112,362.25","588,505.0941","565,262.0161","554,244.0369","548,567.3019","548,135.5627","550,544.0489","548,065.2044","267,441.5678","265,627.7119","264,460.7455","267,794.4384","275,216.5887","283,968.5964","290,695.1936","63,843","64,583","91,941","104,558.75","96,562.75","93,672.25","92,375.5","32,216","40,912","39,824","36,126","32,641","28,429","25,360","4,600,814","4,624,577","4,644,204","4,664,851","4,678,215","4,670,818","4,659,978"
23,Maine,"25,690.0833","24,380.0833","22,946.5","21,780.833400000003","20,805.666599999997","19,363.833400000003","18,320","107,179.312","100,839.2665","99,412.3217","100,272.3241","99,421.551","97,730.4327","96,194.7741","44,366.2951","44,986.3358","47,006.5924","48,563.9458","50,073.4748","50,072.7556","50,399.6164","11,089","10,647.75","10,533","11,099.5","11,034.75","10,268.5","10,974.75","9,169","10,553","11,756","13,327","14,057","15,298","15,036","1,327,691","1,328,196","1,330,760","1,328,484","1,331,370","1,335,063","1,338,404"
