,FIPS,State,County,FFR11,FFR16,PCH_FFR_11_16,FFRPTH11,FFRPTH16,PCH_FFRPTH_11_16,FSR11,FSR16,PCH_FSR_11_16,FSRPTH11,FSRPTH16,PCH_FSRPTH_11_16,PC_FFRSALES07*,PC_FFRSALES12*,PC_FSRSALES07*,PC_FSRSALES12*,geo_type
2852,51067.0,VA,Franklin,30.0,27.0,-10.0,0.532453011,0.48077779200000004,-9.705122954,25.0,29.0,16.0,0.44371084299999997,0.516390961,16.380063747999998,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2853,51069.0,VA,Frederick,48.0,45.0,-6.25,0.60356101,0.531387275,-11.957984979,36.0,45.0,25.0,0.45267075700000003,0.531387275,17.389353360999998,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2854,51071.0,VA,Giles,12.0,8.0,-33.333333333,0.699749257,0.473737194,-32.299007126,10.0,11.0,10.0,0.58312438,0.651388642,11.706638242,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2855,51073.0,VA,Gloucester,27.0,24.0,-11.111111111,0.73200488,0.6468828329999999,-11.628617378,27.0,24.0,-11.111111111,0.73200488,0.6468828329999999,-11.628617378,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2856,51075.0,VA,Goochland,7.0,8.0,14.285714286,0.327454741,0.355951057,8.70236771,9.0,16.0,77.777777778,0.421013239,0.711902113,69.092571994,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2857,51077.0,VA,Grayson,4.0,2.0,-50.0,0.260314981,0.126031886,-51.584850967,7.0,6.0,-14.285714286,0.455551217,0.37809565799999995,-17.002601658,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2858,51079.0,VA,Greene,6.0,9.0,50.0,0.321422832,0.46557343100000004,44.847654027,12.0,13.0,8.333333332999999,0.642845663,0.672494956,4.612194575,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2859,51081.0,VA,Greensville,2.0,5.0,150.0,0.167140231,0.432862956,158.98190632799998,1.0,1.0,0.0,0.083570115,0.08657259099999999,3.5927625310000004,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2860,51083.0,VA,Halifax,24.0,28.0,16.666666667,0.667111408,0.800823704,20.043473287,24.0,19.0,-20.833333333,0.667111408,0.543416085,-18.541928841,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
2861,51085.0,VA,Hanover,72.0,75.0,4.166666667,0.720677437,0.71875569,-0.266658361,73.0,81.0,10.95890411,0.7306868459999999,0.776256145,6.236501998,721.8231507597286,635.0676982024834,739.1472646451974,738.3726242355216,county
